model,device,dtype,batch_size,length,dim,level,benchmark_level,mae,mape,rmse,time
monomial_approx,cpu,float64,4,10,2,2,21,1.02718023734516e-05,1.0938710263463603e-05,4.9850780487483696e-05,0.0008318137843161821
monomial_approx,cpu,float64,4,10,2,3,21,7.918855725319585e-08,8.338601208594811e-08,3.784355954543596e-07,0.0013551723677664995
monomial_approx,cpu,float64,4,10,2,4,21,1.9236667120337003e-10,2.0430817327151262e-10,1.0681589315987337e-09,0.002017322462052107
monomial_approx,cpu,float64,4,10,2,5,21,5.397488012093277e-13,5.714580700974694e-13,2.9887864959181684e-12,0.002638604026287794
monomial_approx,cpu,float64,4,10,2,6,21,8.465450562766819e-16,9.046618063763645e-16,5.046326990660216e-15,0.00508766807615757
monomial_approx,cpu,float64,4,10,2,7,21,2.220446049250313e-16,2.3472972969266977e-16,1.041481514324134e-15,0.005421345587819815
monomial_approx,cpu,float64,4,10,2,8,21,2.220446049250313e-16,2.3472972969266977e-16,1.041481514324134e-15,0.006784346420317888
monomial_approx,cpu,float64,4,10,2,9,21,2.220446049250313e-16,2.3472972969266977e-16,1.041481514324134e-15,0.0093221974093467
monomial_approx,cpu,float64,4,10,2,10,21,2.220446049250313e-16,2.3472972969266977e-16,1.041481514324134e-15,0.010676500154659152
monomial_approx,cpu,float64,4,10,2,11,21,2.220446049250313e-16,2.3472972969266977e-16,1.041481514324134e-15,0.011747968848794699
monomial_approx,cpu,float64,4,10,2,12,21,2.220446049250313e-16,2.3472972969266977e-16,1.041481514324134e-15,0.017121161334216595
monomial_approx,cpu,float64,4,10,2,13,21,2.220446049250313e-16,2.3472972969266977e-16,1.041481514324134e-15,0.014934970764443278
monomial_approx,cpu,float64,4,10,2,14,21,2.220446049250313e-16,2.3472972969266977e-16,1.041481514324134e-15,0.02012839959934354
monomial_approx,cpu,float64,4,10,2,15,21,2.220446049250313e-16,2.3472972969266977e-16,1.041481514324134e-15,0.020960612455382943
monomial_approx,cpu,float64,4,10,2,16,21,2.220446049250313e-16,2.3472972969266977e-16,1.041481514324134e-15,0.023122034966945648
monomial_approx,cpu,float64,4,10,2,17,21,2.220446049250313e-16,2.3472972969266977e-16,1.041481514324134e-15,0.019277413608506322
monomial_interp,cpu,float64,4,10,2,2,21,8.169986909223326e-11,8.533484163547318e-11,4.851328136072608e-10,0.01129033463075757
monomial_interp,cpu,float64,4,10,2,3,21,4.930514330148128e-12,5.085037626485181e-12,2.3417710188412235e-11,0.006103738211095333
monomial_interp,cpu,float64,4,10,2,4,21,1.4155343563970746e-15,1.4909016264623027e-15,7.34091687651552e-15,0.02863946999423206
monomial_interp,cpu,float64,4,10,2,5,21,1.4641066137244252e-15,1.5413461491146036e-15,7.628290615314396e-15,0.04441953240893781
monomial_interp,cpu,float64,4,10,2,6,21,1.6375789613221059e-15,1.7414998376542937e-15,7.784239094625047e-15,0.07322399783879519
monomial_interp,cpu,float64,4,10,2,7,21,1.4224732503009818e-15,1.4840762718567091e-15,7.151249776876829e-15,0.025239627109840512
monomial_interp,cpu,float64,4,10,2,8,21,1.5265566588595902e-15,1.6032313626352957e-15,7.467436322983295e-15,0.13182108756154776
monomial_interp,cpu,float64,4,10,2,9,21,1.5543122344752192e-15,1.634800686911307e-15,7.377764055609925e-15,0.15580883366055787
monomial_interp,cpu,float64,4,10,2,10,21,2.525757381022231e-15,2.74483963710483e-15,1.2585248453105973e-14,0.18242335342802107
monomial_interp,cpu,float64,4,10,2,11,21,2.067790383364354e-15,2.196496986886872e-15,9.850375187889264e-15,0.05724784219637513
monomial_interp,cpu,float64,4,10,2,12,21,1.6445178552260131e-15,1.7339629587714867e-15,7.28783408389169e-15,0.26062239380553365
monomial_interp,cpu,float64,4,10,2,13,21,1.6861512186494565e-15,1.7743550514934756e-15,8.072626979010118e-15,0.30973776057362556
monomial_interp,cpu,float64,4,10,2,14,21,1.6237011735142914e-15,1.7174451559248302e-15,7.53644380168212e-15,0.3409073087386787
monomial_interp,cpu,float64,4,10,2,15,21,1.4155343563970746e-15,1.4839532826814682e-15,6.773270407953566e-15,0.10703250975348055
monomial_interp,cpu,float64,4,10,2,16,21,1.2351231148954867e-15,1.2945773913103044e-15,5.515473566030869e-15,0.09362585726194084
monomial_interp,cpu,float64,4,10,2,17,21,1.4779844015322396e-15,1.5434265034079004e-15,6.83035335636718e-15,0.09988199546933174
monomial_approx2,cpu,float64,4,10,2,2,21,1.0271802373465477e-05,1.0938710263479256e-05,4.9850780487520254e-05,0.00039406982250511646
monomial_approx2,cpu,float64,4,10,2,3,21,7.918855725319585e-08,8.338601208796937e-08,3.7843559542348296e-07,0.001440330408513546
monomial_approx2,cpu,float64,4,10,2,4,21,1.9236665732558222e-10,2.0430815900497556e-10,1.0681588520530826e-09,0.0016658108215779066
monomial_approx2,cpu,float64,4,10,2,5,21,5.397765567849433e-13,5.714864440203901e-13,2.98885415869695e-12,0.0026964242570102215
monomial_approx2,cpu,float64,4,10,2,6,21,8.673617379884035e-16,9.273576729735066e-16,5.049989500147305e-15,0.005097979912534356
monomial_approx2,cpu,float64,4,10,2,7,21,1.734723475976807e-16,1.8141837321646625e-16,8.671119018262734e-16,0.0052237422205507755
monomial_approx2,cpu,float64,4,10,2,8,21,1.734723475976807e-16,1.8141837321646625e-16,8.671119018262734e-16,0.006794170709326863
monomial_approx2,cpu,float64,4,10,2,9,21,1.734723475976807e-16,1.8141837321646625e-16,8.671119018262734e-16,0.009372509084641933
monomial_approx2,cpu,float64,4,10,2,10,21,1.734723475976807e-16,1.8141837321646625e-16,8.671119018262734e-16,0.011214885395020247
monomial_approx2,cpu,float64,4,10,2,11,21,1.734723475976807e-16,1.8141837321646625e-16,8.671119018262734e-16,0.012696132296696305
monomial_approx2,cpu,float64,4,10,2,12,21,1.734723475976807e-16,1.8141837321646625e-16,8.671119018262734e-16,0.017825245624408126
monomial_approx2,cpu,float64,4,10,2,13,21,1.734723475976807e-16,1.8141837321646625e-16,8.671119018262734e-16,0.0160569550935179
monomial_approx2,cpu,float64,4,10,2,14,21,1.734723475976807e-16,1.8141837321646625e-16,8.671119018262734e-16,0.020832567242905498
monomial_approx2,cpu,float64,4,10,2,15,21,1.734723475976807e-16,1.8141837321646625e-16,8.671119018262734e-16,0.021779564674943686
monomial_approx2,cpu,float64,4,10,2,16,21,1.734723475976807e-16,1.8141837321646625e-16,8.671119018262734e-16,0.024102452443912625
monomial_approx2,cpu,float64,4,10,2,17,21,1.734723475976807e-16,1.8141837321646625e-16,8.671119018262734e-16,0.02051226608455181
monomial_interp2,cpu,float64,4,10,2,2,21,8.169946663638683e-11,8.533440334333259e-11,4.85132341098062e-10,0.011902744648978114
monomial_interp2,cpu,float64,4,10,2,3,21,4.930306163331011e-12,5.084820078990201e-12,2.3417496454432475e-11,0.004763871198520064
monomial_interp2,cpu,float64,4,10,2,4,21,1.4988010832439613e-15,1.578790793131531e-15,7.967349055175335e-15,0.02803699136711657
monomial_interp2,cpu,float64,4,10,2,5,21,1.4641066137244252e-15,1.5430853223838699e-15,8.061931717598763e-15,0.04741071886382997
monomial_interp2,cpu,float64,4,10,2,6,21,1.672273430841642e-15,1.7371883125562423e-15,8.457393061138074e-15,0.07203741674311459
monomial_interp2,cpu,float64,4,10,2,7,21,1.6861512186494565e-15,1.7855128237336428e-15,8.0282252800283e-15,0.0180252471473068
monomial_interp2,cpu,float64,4,10,2,8,21,1.97758476261356e-15,2.069679001543094e-15,9.375305924284414e-15,0.1365588514599949
monomial_interp2,cpu,float64,4,10,2,9,21,1.762479051592436e-15,1.840949283596843e-15,9.214182271065154e-15,0.15461332420818508
monomial_interp2,cpu,float64,4,10,2,10,21,2.1510571102112408e-15,2.283877472740453e-15,1.0373309879339556e-14,0.1789242655504495
monomial_interp2,cpu,float64,4,10,2,11,21,2.220446049250313e-15,2.3260359531855558e-15,1.0147462738765302e-14,0.04066451545804739
monomial_interp2,cpu,float64,4,10,2,12,21,1.762479051592436e-15,1.8689418432836095e-15,9.08892336410715e-15,0.27120782108977437
monomial_interp2,cpu,float64,4,10,2,13,21,2.1094237467877974e-15,2.1947948524527968e-15,1.0704300373371068e-14,0.29919608659110963
monomial_interp2,cpu,float64,4,10,2,14,21,1.609823385706477e-15,1.676868602937546e-15,8.079495027972895e-15,0.32896383781917393
monomial_interp2,cpu,float64,4,10,2,15,21,1.85268467234323e-15,1.939345302267775e-15,8.801625195555203e-15,0.07164056901820004
monomial_interp2,cpu,float64,4,10,2,16,21,1.7277845820728999e-15,1.817378722656877e-15,8.502452963264147e-15,0.08684911322779953
monomial_interp2,cpu,float64,4,10,2,17,21,2.060851489460447e-15,2.155478218437383e-15,1.073132639568025e-14,0.09656241536140442
