analysis,model,device,dtype,batch_size,length,dim,param,time
length,monomial_approx,gpu,float32,8,100,8,2,0.4584855257999152
length,monomial_approx,gpu,float32,8,100,8,3,0.4987537059932947
length,monomial_approx,gpu,float32,8,100,8,4,0.4983950506430119
length,monomial_approx,gpu,float32,8,100,8,5,0.4381417234738667
length,sigkerax,gpu,float32,8,100,8,1,0.5975351900172731
length,monomial_approx,gpu,float32,8,125,8,2,0.4565134836981694
length,monomial_approx,gpu,float32,8,125,8,3,0.481883766905715
length,monomial_approx,gpu,float32,8,125,8,4,0.4298322776642938
length,monomial_approx,gpu,float32,8,125,8,5,0.4291358562962462
length,sigkerax,gpu,float32,8,125,8,1,0.6034266469844928
length,monomial_approx,gpu,float32,8,150,8,2,0.4758248273283243
length,monomial_approx,gpu,float32,8,150,8,3,0.4437002064660191
length,monomial_approx,gpu,float32,8,150,8,4,0.4360800629947334
length,monomial_approx,gpu,float32,8,150,8,5,0.4426235571348418
length,sigkerax,gpu,float32,8,150,8,1,0.6084606093354523
length,monomial_approx,gpu,float32,8,175,8,2,0.4309386481375744
length,monomial_approx,gpu,float32,8,175,8,3,0.4431570184727509
length,monomial_approx,gpu,float32,8,175,8,4,0.4429032353218645
length,monomial_approx,gpu,float32,8,175,8,5,0.4841504351546367
length,sigkerax,gpu,float32,8,175,8,1,0.6103559681990495
length,monomial_approx,gpu,float32,8,200,8,2,0.4343446365091949
length,monomial_approx,gpu,float32,8,200,8,3,0.4635270543706913
length,monomial_approx,gpu,float32,8,200,8,4,0.5055435133011391
length,monomial_approx,gpu,float32,8,200,8,5,0.5148606156775107
length,sigkerax,gpu,float32,8,200,8,1,0.6157781342044473
length,monomial_approx,gpu,float32,8,225,8,2,0.4411214445717633
length,monomial_approx,gpu,float32,8,225,8,3,0.4593588898424059
length,monomial_approx,gpu,float32,8,225,8,4,0.5066377831778178
length,monomial_approx,gpu,float32,8,225,8,5,0.4995474690416207
length,sigkerax,gpu,float32,8,225,8,1,0.6189297075228145
length,monomial_approx,gpu,float32,8,250,8,2,0.4444006406702101
length,monomial_approx,gpu,float32,8,250,8,3,0.4601243299742539
length,monomial_approx,gpu,float32,8,250,8,4,0.5119980518550923
length,monomial_approx,gpu,float32,8,250,8,5,0.5179222483808795
length,sigkerax,gpu,float32,8,250,8,1,0.6378671651085218
length,monomial_approx,gpu,float32,8,275,8,2,0.4327578266772131
length,monomial_approx,gpu,float32,8,275,8,3,0.4821598565516372
length,monomial_approx,gpu,float32,8,275,8,4,0.521933636860922
length,monomial_approx,gpu,float32,8,275,8,5,0.5223483050552508
length,sigkerax,gpu,float32,8,275,8,1,0.6369783205445856
length,monomial_approx,gpu,float32,8,300,8,2,0.4494244936698426
length,monomial_approx,gpu,float32,8,300,8,3,0.4750271063142766
length,monomial_approx,gpu,float32,8,300,8,4,0.5802049331832677
length,monomial_approx,gpu,float32,8,300,8,5,0.5562459297167758
